Year,Country,Gold,Silver,Bronze,Total,TiedWith
2018,Norway,14,14,11,39,Norway
2018,Germany,14,10,7,31,Germany
2018,Canada,11,8,10,29,Canada
2018,United States,9,8,6,23,United States
2018,Netherlands,8,6,6,20,Netherlands
2018,South Korea,5,8,4,17,South Korea|OAR
2018,OAR,2,6,9,17,South Korea|OAR
2018,Switzerland,5,6,4,15,Switzerland|France
2018,France,5,4,6,15,Switzerland|France
2018,Sweden,7,6,1,14,Sweden|Austria
2018,Austria,5,3,6,14,Sweden|Austria
2018,Japan,4,5,4,13,Japan
2018,Italy,3,2,5,10,Italy
2018,China,1,6,2,9,China
2018,Czech Republic,2,2,3,7,Czech Republic
2018,Finland,1,1,4,6,Finland
2018,Great Britain,1,0,4,5,Great Britain
2018,Belarus,2,1,0,3,Belarus|Slovakia|Australia
2018,Slovakia,1,2,0,3,Belarus|Slovakia|Australia
2018,Australia,0,2,1,3,Belarus|Slovakia|Australia
2018,Poland,1,0,1,2,Poland|Slovenia|Spain|New Zealand
2018,Slovenia,0,1,1,2,Poland|Slovenia|Spain|New Zealand
2018,Spain,0,0,2,2,Poland|Slovenia|Spain|New Zealand
2018,New Zealand,0,0,2,2,Poland|Slovenia|Spain|New Zealand
2018,Hungary,1,0,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Ukraine,1,0,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Belgium,0,1,0,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Kazakhstan,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Latvia,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2018,Liechtenstein,0,0,1,1,Hungary|Ukraine|Belgium|Kazakhstan|Latvia|Liechtenstein
2014,Russia,13,11,9,33,Russia
2014,United States,9,7,12,28,United States
2014,Norway,11,5,10,26,Norway
2014,Canada,10,10,5,25,Canada
2014,Netherlands,8,7,9,24,Netherlands
2014,Germany,8,6,5,19,Germany
2014,Austria,4,8,5,17,Austria
2014,France,4,4,7,15,France|Sweden
2014,Sweden,2,7,6,15,France|Sweden
2014,Switzerland,6,3,2,11,Switzerland
2014,China,3,4,2,9,China
2014,South Korea,3,3,2,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Czech Republic,2,4,2,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Slovenia,2,2,4,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Japan,1,4,3,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Italy,0,2,6,8,South Korea|Czech Republic|Slovenia|Japan|Italy
2014,Belarus,5,0,1,6,Belarus|Poland
2014,Poland,4,1,1,6,Belarus|Poland
2014,Finland,1,3,1,5,Finland
2014,Great Britain,1,1,2,4,Great Britain|Latvia
2014,Latvia,0,2,2,4,Great Britain|Latvia
2014,Australia,0,2,1,3,Australia
2014,Ukraine,1,0,1,2,Ukraine
2014,Slovakia,1,0,0,1,Slovakia|Croatia|Kazakhstan
2014,Croatia,0,1,0,1,Slovakia|Croatia|Kazakhstan
2014,Kazakhstan,0,0,1,1,Slovakia|Croatia|Kazakhstan
2010,United States,9,15,13,37,United States
2010,Germany,10,13,7,30,Germany
2010,Canada,14,7,5,26,Canada
2010,Norway,9,8,6,23,Norway
2010,Austria,4,6,6,16,Austria
2010,Russia,3,5,7,15,Russia
2010,South Korea,6,6,2,14,South Korea
2010,Sweden,5,2,4,11,Sweden|China|France
2010,China,5,2,4,11,Sweden|China|France
2010,France,2,3,6,11,Sweden|China|France
2010,Switzerland,6,0,3,9,Switzerland
2010,Netherlands,4,1,3,8,Netherlands
2010,Czech Republic,2,0,4,6,Czech Republic|Poland
2010,Poland,1,3,2,6,Czech Republic|Poland
2010,Italy,1,1,3,5,Italy|Japan|Finland
2010,Japan,0,3,2,5,Italy|Japan|Finland
2010,Finland,0,1,4,5,Italy|Japan|Finland
2010,Australia,2,1,0,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Slovakia,1,1,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Belarus,1,1,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Croatia,0,2,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Slovenia,0,2,1,3,Australia|Slovakia|Belarus|Croatia|Slovenia
2010,Latvia,0,2,0,2,Latvia
2010,Great Britain,1,0,0,1,Great Britain|Kazakhstan|Estonia
2010,Kazakhstan,0,1,0,1,Great Britain|Kazakhstan|Estonia
2010,Estonia,0,1,0,1,Great Britain|Kazakhstan|Estonia
2006,Germany,11,12,6,29,Germany
2006,United States,9,9,7,25,United States
2006,Canada,7,10,7,24,Canada
2006,Austria,9,7,7,23,Austria
2006,Russia,8,6,8,22,Russia
2006,Norway,2,8,9,19,Norway
2006,Sweden,7,2,5,14,Sweden|Switzerland
2006,Switzerland,5,4,5,14,Sweden|Switzerland
2006,South Korea,6,3,2,11,South Korea|Italy|China
2006,Italy,5,0,6,11,South Korea|Italy|China
2006,China,2,4,5,11,South Korea|Italy|China
2006,France,3,2,4,9,France|Netherlands|Finland
2006,Netherlands,3,2,4,9,France|Netherlands|Finland
2006,Finland,0,6,3,9,France|Netherlands|Finland
2006,Czech Republic,1,2,1,4,Czech Republic
2006,Estonia,3,0,0,3,Estonia|Croatia
2006,Croatia,1,2,0,3,Estonia|Croatia
2006,Australia,1,0,1,2,Australia|Poland|Ukraine
2006,Poland,0,1,1,2,Australia|Poland|Ukraine
2006,Ukraine,0,0,2,2,Australia|Poland|Ukraine
2006,Japan,1,0,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Great Britain,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Slovakia,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Bulgaria,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Belarus,0,1,0,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2006,Latvia,0,0,1,1,Japan|Great Britain|Slovakia|Bulgaria|Belarus|Latvia
2002,Germany,12,16,8,36,Germany
2002,United States,10,13,11,34,United States
2002,Norway,13,5,7,25,Norway
2002,Canada,7,3,7,17,Canada|Austria
2002,Austria,3,4,10,17,Canada|Austria
2002,Russia,5,4,4,13,Russia|Italy
2002,Italy,4,4,5,13,Russia|Italy
2002,France,4,5,2,11,France|Switzerland
2002,Switzerland,3,2,6,11,France|Switzerland
2002,Netherlands,3,5,0,8,Netherlands|China
2002,China,2,2,4,8,Netherlands|China
2002,Finland,4,2,1,7,Finland|Sweden
2002,Sweden,0,2,5,7,Finland|Sweden
2002,Croatia,3,1,0,4,Croatia|South Korea
2002,South Korea,2,2,0,4,Croatia|South Korea
2002,Czech Republic,1,2,0,3,Czech Republic|Estonia|Bulgaria
2002,Estonia,1,1,1,3,Czech Republic|Estonia|Bulgaria
2002,Bulgaria,0,1,2,3,Czech Republic|Estonia|Bulgaria
2002,Australia,2,0,0,2,Australia|Great Britain|Poland|Japan
2002,Great Britain,1,0,1,2,Australia|Great Britain|Poland|Japan
2002,Poland,0,1,1,2,Australia|Great Britain|Poland|Japan
2002,Japan,0,1,1,2,Australia|Great Britain|Poland|Japan
2002,Belarus,0,0,1,1,Belarus|Slovenia
2002,Slovenia,0,0,1,1,Belarus|Slovenia
1998,Germany,12,9,8,29,Germany
1998,Norway,10,10,5,25,Norway
1998,Russia,9,6,3,18,Russia
1998,Austria,3,5,9,17,Austria
1998,Canada,6,5,4,15,Canada
1998,United States,6,3,4,13,United States
1998,Finland,2,4,6,12,Finland
1998,Netherlands,5,4,2,11,Netherlands
1998,Japan,5,1,4,10,Japan|Italy
1998,Italy,2,6,2,10,Japan|Italy
1998,France,2,1,5,8,France|China
1998,China,0,6,2,8,France|China
1998,Switzerland,2,2,3,7,Switzerland
1998,South Korea,3,1,2,6,South Korea
1998,Czech Republic,1,1,1,3,Czech Republic|Sweden
1998,Sweden,0,2,1,3,Czech Republic|Sweden
1998,Belarus,0,0,2,2,Belarus|Kazakhstan
1998,Kazakhstan,0,0,2,2,Belarus|Kazakhstan
1998,Bulgaria,1,0,0,1,Bulgaria|Denmark|Ukraine|Great Britain|Australia|Belgium
